repo,releases,pulls,open_issues,branches,workflows,has_release_workflow,tests
xdsswar/nfx-lib,0,0.0,1,1,0,0,0.0
elmfrain/cnmcu,7,23.0,2,1,1,0,0.0
anonymous123-code/quilt-bisect,5,6.0,2,4,2,0,0.0
drcircuit/wchhack,0,1.0,1,1,0,0,0.0
1321928757/chatgpt-sdk-java,1,0.0,0,1,0,0,16.0
bredlix/wf_companion_app,0,1.0,0,1,0,0,2.0
MagicHarp/confluence,0,4.0,3,4,0,0,0.0
IlyaKukharchuk/InfopostAccountService,0,0.0,0,1,0,0,14.0
dumbo-the-developer/Duels,11,11.0,17,1,1,0,0.0
Incendo/cloud-minecraft,10,33.0,7,8,1,1,29.0
burukeYou/spring-smart-di,0,0.0,1,1,0,0,0.0
tomalbrc/blockbench-import-library,5,0.0,1,8,1,0,0.0
mitang0320/leetcodeHot100,0,0.0,0,1,0,0,0.0
segment-anything-models-java/SAMJ-IJ,0,10.0,11,2,1,1,0.0
quic/ai-hub-apps,7,2.0,19,1,0,0,0.0
bizhangjie/CatVodSpider,0,0.0,3,1,0,0,0.0
st0x0ef/stellaris,0,15.0,5,21,0,0,0.0
polymorphicshade/Tubular,7,12.0,81,3,2,0,63.0
sentrysoftware/metricshub,8,264.0,23,23,3,0,1114.0
mariofusco/quarkus-drools-llm,0,3.0,0,5,0,0,0.0
Divested-Mobile/Carrion,0,5.0,2,1,0,0,0.0
Kehrlann/spring-boot-testing,0,0.0,0,4,0,0,14.0
afsalashyana/Spring-Boot-Tutorials,0,1.0,0,1,0,0,16.0
sivaprasadreddy/spring-boot-microservices-course,0,11.0,1,2,5,0,6.0
StandardSolvers/ps-code-snippets,1,25.0,0,7,0,0,7.0
longerye/im-chat,0,1.0,0,4,0,0,0.0
deerborg/Tourism-Agency-Management,0,0.0,0,1,0,0,0.0
GeyserMC/ThirdPartyCosmetics,0,3.0,5,1,1,0,0.0
CSEdgeOfficial/Java-Programming-Internship,0,50.0,0,1,0,0,0.0
GreenScripter/minecraft-bot,0,0.0,0,2,0,0,0.0
sayxiaoyan/XiaoRanLiu3119-TVBoxMobile,0,0.0,0,2,1,0,0.0
spring-tips/spring-authorization-server,0,0.0,1,1,0,0,0.0
TayebsouiniYcode/CoffeeWithDeveloper,0,5.0,0,5,0,0,0.0
aws/amazon-gamelift-agent,3,10.0,4,4,1,0,335.0
ComPDFKit/compdfkit-api-samples,0,0.0,0,1,0,0,0.0
Kooperlol/Blockify,17,12.0,0,5,0,0,0.0
DragunWF/Student-Admissions,0,0.0,0,1,0,0,0.0
forestwanglin/okx-v5-java,0,0.0,0,1,0,0,6.0
PaperMC/SectorTool,4,0.0,1,1,0,0,0.0
phegondev/users-management-system,0,0.0,0,3,0,0,0.0
CompassSecurity/jwt-scanner,5,3.0,2,4,0,0,0.0
eclipse-tracecompass/org.eclipse.tracecompass,0,169.0,11,46,4,0,3054.0
soundvibe/ha-danfoss,2,11.0,4,3,1,0,4.0
B-Rajagopalan/CodingAtti-YouTube,0,9.0,0,1,0,0,0.0
shmuelzon/home-assistant-floor-plan,17,56.0,7,1,1,0,0.0
MincraftEinstein/SubtleEffects,0,4.0,10,2,0,0,0.0
nkuhn-vmw/GenAI-for-TPCF-Samples,0,7.0,0,1,0,0,0.0
Rearth/Oritech,27,87.0,8,5,1,0,0.0
ColdeZhang/Dominion,59,11.0,5,5,3,1,0.0
DIVISIO-AI/whisper-java,0,0.0,0,1,0,0,0.0
quarkiverse/quarkus-fx,4,65.0,4,3,5,1,8.0
codeIntrovert/90daysOfDSA,0,0.0,1,1,0,0,0.0
0Akshay/passcrypt,0,0.0,0,1,0,0,0.0
hardingadonis/saledock,10,113.0,0,2,3,0,0.0
aditya-dua/JBDL-65,0,0.0,0,1,0,0,4.0
yubb-ai/unofficial-gpt4,10,0.0,0,1,3,0,0.0
codeaashu/JAVA-Programming-Challenge,0,0.0,0,1,0,0,0.0
TiagoFar78/PrisonEscape,2,143.0,13,1,1,0,0.0
xyzbtw/rusherGUI,2,1.0,0,1,0,0,0.0
RogoShum/BruteForceRenderingCulling,0,1.0,9,6,0,0,0.0
parttimenerd/meta-agent,1,1.0,3,1,0,0,1.0
caoccao/swc4j,15,0.0,0,1,1,0,0.0
begcode/begcode-admin,0,0.0,1,1,0,0,2044.0
AllayMC/EncryptMyPack,1,1.0,1,1,1,0,0.0
qos-ch/logback-access,0,7.0,6,1,0,0,58.0
Devlrxxh/Neptune,14,9.0,0,1,0,0,0.0
anaconda875/reactive-hibernate-spring-boot-starter,0,12.0,0,13,0,0,0.0
biagioT/jpa-search-helper,31,2.0,2,2,2,0,70.0
std-microblock/TGStickerProvider,0,3.0,14,1,1,0,0.0
BREAD5940/2024-Onseason,0,9.0,0,9,0,0,0.0
ViaVersionMCP/ViaForgePlus,7,3.0,6,1,0,0,0.0
GeyserExtensionists/GeyserModelEngine,2,14.0,3,3,1,0,0.0
bowbahdoe/jdbc,14,2.0,0,1,2,1,26.0
RobertElderSoftware/robert-elder-software-java-modules,6,0.0,0,1,0,0,0.0
charmy/react-native-stroke-text,11,3.0,3,1,1,0,0.0
alxkm/articles,0,68.0,0,1,0,0,0.0
6tail/tyme4j,17,3.0,4,1,0,0,334.0
mukel/llama3.java,0,12.0,7,1,0,0,0.0
lokerxx/JavaVul,0,0.0,0,1,0,0,0.0
ChloePrime/AAAParticles,18,8.0,12,5,0,0,0.0
grishka/poke.dex,1,1.0,0,1,0,0,0.0
krkarma777/moonbam,0,210.0,0,18,0,0,12.0
anitalakhadze/multiple-auth-api,0,8.0,0,7,0,0,0.0
corentingosselin/ProdigyCape,6,10.0,8,6,0,0,0.0
sattinos/xrest,0,3.0,0,4,0,0,40.0
darksolopic/PasswordManagerGUI,0,0.0,0,1,0,0,0.0
LekKit/ScalarEvolution,0,0.0,3,1,2,1,0.0
crystoll/musashi,0,0.0,0,1,0,0,0.0
ShafiqSadat/IPTVTelegramBot,1,0.0,0,1,0,0,0.0
sasmithx/Chat_Application_Socket_Progrmming,0,0.0,0,1,0,0,0.0
miliariadnane/spring-boot-doc-rag-bot,0,0.0,0,1,0,0,0.0
shinee0401/AdminPanel_Vue,0,0.0,0,1,0,0,0.0
msbaek/vsa-tdd,0,0.0,0,2,0,0,4.0
xu-shawn/Serendipity,6,141.0,0,373,0,0,3.0
mishmash-io/opentelemetry-server-embedded,4,31.0,0,6,1,0,0.0
Javabykiran-Angular/161_AdvancedJava,0,0.0,0,1,0,0,0.0
bennamrouche/irc-tester,0,2.0,0,2,0,0,0.0
15911075183ma/java-onnx-yolo,0,0.0,0,1,0,0,0.0
Rapter1990/springbootsecurity,0,0.0,0,1,0,0,54.0
gradlex-org/java-module-packaging,1,0.0,0,2,2,1,0.0
SnowCutieOwO/Continue,0,2.0,0,1,0,0,0.0
wohaopa/GTNHModify,17,5.0,3,3,2,1,0.0
abhishekabhi789/LyricsForPowerAmp,11,2.0,2,1,0,0,0.0
AHUCodingBeast/Waiting-Batch-Bus,0,0.0,1,1,0,0,0.0
starlake-ai/jsqltranspiler,0,18.0,9,7,2,0,70.0
swan-io/react-native-browser,9,7.0,1,1,1,0,0.0
cbrewitt/flipping-copilot,0,12.0,3,8,0,0,21.0
sjrsjz/vulkanite-modified,1,0.0,2,1,1,0,0.0
patternhelloworld/spring-security-oauth2-password-jpa-implementation,16,0.0,0,3,0,0,11.0
artlibs/autotrace4j,4,17.0,0,1,3,1,19.0
failutee/Mineject,4,10.0,1,12,1,0,0.0
w1th4d/JarPlant,0,12.0,0,1,0,0,0.0
Interlink-Media/Sierra,64,1.0,0,3,0,0,0.0
HaHaWTH/AdvancedSensitiveWords,4,3.0,0,3,1,0,0.0
GOLDILOCKS-DBMS/IITP_TASK,0,0.0,0,1,0,0,1.0
3kh0/eaglercraft-1.8,0,1.0,0,1,1,0,0.0
JAgentSphere/bytebuddy-agent-demo,4,0.0,2,3,0,0,0.0
awslabs/analytics-accelerator-s3,2,156.0,15,16,4,0,435.0
Consensys/linea-sequencer,38,115.0,4,80,3,1,92.0
OpenCubicChunks/CubicChunks3,0,32.0,8,1,2,0,5.0
